-- Dummy data: 300 rows for subscription_management schema
-- Table: customers (no portal_user_id; safe if you already have users/roles).
-- Run in MySQL after: SOURCE subscription_management.sql (or existing DB).
-- Suggested order: 1) this file, 2) dummy_products_300.txt, 3) dummy_subscriptions_300.txt

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO customers (customer_name, email, phone, company_name, billing_address, shipping_address, tax_number, portal_user_id, status) VALUES
  ('Dummy Customer 1', 'dummy.customer.1@example.test', '+1-555-1001', 'Acme Division 2 LLC', '1 Test Street, Suite 1, Metro City, TC 10001', '1 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000001', NULL, 'ACTIVE'),
  ('Dummy Customer 106', 'dummy.customer.106@example.test', '+1-555-1106', 'Acme Division 7 LLC', '106 Test Street, Suite 106, Metro City, TC 10106', '106 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000106', NULL, 'ACTIVE'),
  ('Dummy Customer 107', 'dummy.customer.107@example.test', '+1-555-1107', 'Acme Division 8 LLC', '107 Test Street, Suite 107, Metro City, TC 10107', '107 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000107', NULL, 'ACTIVE'),
  ('Dummy Customer 108', 'dummy.customer.108@example.test', '+1-555-1108', 'Acme Division 9 LLC', '108 Test Street, Suite 108, Metro City, TC 10108', '108 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000108', NULL, 'ACTIVE'),
  ('Dummy Customer 109', 'dummy.customer.109@example.test', '+1-555-1109', 'Acme Division 10 LLC', '109 Test Street, Suite 109, Metro City, TC 10109', '109 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000109', NULL, 'ACTIVE'),
  ('Dummy Customer 110', 'dummy.customer.110@example.test', '+1-555-1110', 'Acme Division 11 LLC', '110 Test Street, Suite 110, Metro City, TC 10110', '110 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000110', NULL, 'ACTIVE'),
  ('Dummy Customer 111', 'dummy.customer.111@example.test', '+1-555-1111', 'Acme Division 12 LLC', '111 Test Street, Suite 111, Metro City, TC 10111', '111 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000111', NULL, 'ACTIVE'),
  ('Dummy Customer 112', 'dummy.customer.112@example.test', '+1-555-1112', 'Acme Division 13 LLC', '112 Test Street, Suite 112, Metro City, TC 10112', '112 Test Street, Suite 112, Metro City, TC 10112', 'TAX-1000112', NULL, 'ACTIVE'),
  ('Dummy Customer 113', 'dummy.customer.113@example.test', '+1-555-1113', 'Acme Division 14 LLC', '113 Test Street, Suite 113, Metro City, TC 10113', '113 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000113', NULL, 'ACTIVE'),
  ('Dummy Customer 114', 'dummy.customer.114@example.test', '+1-555-1114', 'Acme Division 15 LLC', '114 Test Street, Suite 114, Metro City, TC 10114', '114 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000114', NULL, 'ACTIVE'),
  ('Dummy Customer 115', 'dummy.customer.115@example.test', '+1-555-1115', 'Acme Division 16 LLC', '115 Test Street, Suite 115, Metro City, TC 10115', '115 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000115', NULL, 'ACTIVE'),
  ('Dummy Customer 116', 'dummy.customer.116@example.test', '+1-555-1116', 'Acme Division 17 LLC', '116 Test Street, Suite 116, Metro City, TC 10116', '116 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000116', NULL, 'ACTIVE'),
  ('Dummy Customer 117', 'dummy.customer.117@example.test', '+1-555-1117', 'Acme Division 18 LLC', '117 Test Street, Suite 117, Metro City, TC 10117', '117 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000117', NULL, 'ACTIVE'),
  ('Dummy Customer 118', 'dummy.customer.118@example.test', '+1-555-1118', 'Acme Division 19 LLC', '118 Test Street, Suite 118, Metro City, TC 10118', '118 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000118', NULL, 'ACTIVE'),
  ('Dummy Customer 119', 'dummy.customer.119@example.test', '+1-555-1119', 'Acme Division 20 LLC', '119 Test Street, Suite 119, Metro City, TC 10119', '119 Test Street, Suite 119, Metro City, TC 10119', 'TAX-1000119', NULL, 'ACTIVE'),
  ('Dummy Customer 120', 'dummy.customer.120@example.test', '+1-555-1120', 'Acme Division 21 LLC', '120 Test Street, Suite 120, Metro City, TC 10120', '120 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000120', NULL, 'ACTIVE'),
  ('Dummy Customer 121', 'dummy.customer.121@example.test', '+1-555-1121', 'Acme Division 22 LLC', '121 Test Street, Suite 121, Metro City, TC 10121', '121 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000121', NULL, 'ACTIVE'),
  ('Dummy Customer 122', 'dummy.customer.122@example.test', '+1-555-1122', 'Acme Division 23 LLC', '122 Test Street, Suite 122, Metro City, TC 10122', '122 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000122', NULL, 'ACTIVE'),
  ('Dummy Customer 123', 'dummy.customer.123@example.test', '+1-555-1123', 'Acme Division 24 LLC', '123 Test Street, Suite 123, Metro City, TC 10123', '123 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000123', NULL, 'ACTIVE'),
  ('Dummy Customer 124', 'dummy.customer.124@example.test', '+1-555-1124', 'Acme Division 25 LLC', '124 Test Street, Suite 124, Metro City, TC 10124', '124 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000124', NULL, 'ACTIVE'),
  ('Dummy Customer 125', 'dummy.customer.125@example.test', '+1-555-1125', 'Acme Division 26 LLC', '125 Test Street, Suite 125, Metro City, TC 10125', '125 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000125', NULL, 'ACTIVE'),
  ('Dummy Customer 126', 'dummy.customer.126@example.test', '+1-555-1126', 'Acme Division 27 LLC', '126 Test Street, Suite 126, Metro City, TC 10126', '126 Test Street, Suite 126, Metro City, TC 10126', 'TAX-1000126', NULL, 'ACTIVE'),
  ('Dummy Customer 127', 'dummy.customer.127@example.test', '+1-555-1127', 'Acme Division 28 LLC', '127 Test Street, Suite 127, Metro City, TC 10127', '127 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000127', NULL, 'ACTIVE'),
  ('Dummy Customer 128', 'dummy.customer.128@example.test', '+1-555-1128', 'Acme Division 29 LLC', '128 Test Street, Suite 128, Metro City, TC 10128', '128 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000128', NULL, 'ACTIVE'),
  ('Dummy Customer 129', 'dummy.customer.129@example.test', '+1-555-1129', 'Acme Division 30 LLC', '129 Test Street, Suite 129, Metro City, TC 10129', '129 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000129', NULL, 'ACTIVE'),
  ('Dummy Customer 130', 'dummy.customer.130@example.test', '+1-555-1130', 'Acme Division 31 LLC', '130 Test Street, Suite 130, Metro City, TC 10130', '130 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000130', NULL, 'ACTIVE'),
  ('Dummy Customer 131', 'dummy.customer.131@example.test', '+1-555-1131', 'Acme Division 32 LLC', '131 Test Street, Suite 131, Metro City, TC 10131', '131 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000131', NULL, 'ACTIVE'),
  ('Dummy Customer 132', 'dummy.customer.132@example.test', '+1-555-1132', 'Acme Division 33 LLC', '132 Test Street, Suite 132, Metro City, TC 10132', '132 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000132', NULL, 'ACTIVE'),
  ('Dummy Customer 133', 'dummy.customer.133@example.test', '+1-555-1133', 'Acme Division 34 LLC', '133 Test Street, Suite 133, Metro City, TC 10133', '133 Test Street, Suite 133, Metro City, TC 10133', 'TAX-1000133', NULL, 'ACTIVE'),
  ('Dummy Customer 134', 'dummy.customer.134@example.test', '+1-555-1134', 'Acme Division 35 LLC', '134 Test Street, Suite 134, Metro City, TC 10134', '134 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000134', NULL, 'ACTIVE'),
  ('Dummy Customer 135', 'dummy.customer.135@example.test', '+1-555-1135', 'Acme Division 36 LLC', '135 Test Street, Suite 135, Metro City, TC 10135', '135 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000135', NULL, 'ACTIVE'),
  ('Dummy Customer 136', 'dummy.customer.136@example.test', '+1-555-1136', 'Acme Division 37 LLC', '136 Test Street, Suite 136, Metro City, TC 10136', '136 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000136', NULL, 'ACTIVE'),
  ('Dummy Customer 137', 'dummy.customer.137@example.test', '+1-555-1137', 'Acme Division 38 LLC', '137 Test Street, Suite 137, Metro City, TC 10137', '137 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000137', NULL, 'ACTIVE'),
  ('Dummy Customer 138', 'dummy.customer.138@example.test', '+1-555-1138', 'Acme Division 39 LLC', '138 Test Street, Suite 138, Metro City, TC 10138', '138 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000138', NULL, 'ACTIVE'),
  ('Dummy Customer 139', 'dummy.customer.139@example.test', '+1-555-1139', 'Acme Division 40 LLC', '139 Test Street, Suite 139, Metro City, TC 10139', '139 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000139', NULL, 'ACTIVE'),
  ('Dummy Customer 140', 'dummy.customer.140@example.test', '+1-555-1140', 'Acme Division 41 LLC', '140 Test Street, Suite 140, Metro City, TC 10140', '140 Test Street, Suite 140, Metro City, TC 10140', 'TAX-1000140', NULL, 'ACTIVE'),
  ('Dummy Customer 141', 'dummy.customer.141@example.test', '+1-555-1141', 'Acme Division 42 LLC', '141 Test Street, Suite 141, Metro City, TC 10141', '141 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000141', NULL, 'ACTIVE'),
  ('Dummy Customer 142', 'dummy.customer.142@example.test', '+1-555-1142', 'Acme Division 43 LLC', '142 Test Street, Suite 142, Metro City, TC 10142', '142 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000142', NULL, 'ACTIVE'),
  ('Dummy Customer 143', 'dummy.customer.143@example.test', '+1-555-1143', 'Acme Division 44 LLC', '143 Test Street, Suite 143, Metro City, TC 10143', '143 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000143', NULL, 'ACTIVE'),
  ('Dummy Customer 144', 'dummy.customer.144@example.test', '+1-555-1144', 'Acme Division 45 LLC', '144 Test Street, Suite 144, Metro City, TC 10144', '144 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000144', NULL, 'ACTIVE'),
  ('Dummy Customer 145', 'dummy.customer.145@example.test', '+1-555-1145', 'Acme Division 46 LLC', '145 Test Street, Suite 145, Metro City, TC 10145', '145 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000145', NULL, 'ACTIVE'),
  ('Dummy Customer 146', 'dummy.customer.146@example.test', '+1-555-1146', 'Acme Division 47 LLC', '146 Test Street, Suite 146, Metro City, TC 10146', '146 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000146', NULL, 'ACTIVE'),
  ('Dummy Customer 147', 'dummy.customer.147@example.test', '+1-555-1147', 'Acme Division 48 LLC', '147 Test Street, Suite 147, Metro City, TC 10147', '147 Test Street, Suite 147, Metro City, TC 10147', 'TAX-1000147', NULL, 'ACTIVE'),
  ('Dummy Customer 148', 'dummy.customer.148@example.test', '+1-555-1148', 'Acme Division 49 LLC', '148 Test Street, Suite 148, Metro City, TC 10148', '148 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000148', NULL, 'ACTIVE'),
  ('Dummy Customer 149', 'dummy.customer.149@example.test', '+1-555-1149', 'Acme Division 50 LLC', '149 Test Street, Suite 149, Metro City, TC 10149', '149 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000149', NULL, 'ACTIVE'),
  ('Dummy Customer 150', 'dummy.customer.150@example.test', '+1-555-1150', 'Acme Division 1 LLC', '150 Test Street, Suite 150, Metro City, TC 10150', '150 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000150', NULL, 'ACTIVE'),
  ('Dummy Customer 151', 'dummy.customer.151@example.test', '+1-555-1151', 'Acme Division 2 LLC', '151 Test Street, Suite 151, Metro City, TC 10151', '151 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000151', NULL, 'ACTIVE'),
  ('Dummy Customer 152', 'dummy.customer.152@example.test', '+1-555-1152', 'Acme Division 3 LLC', '152 Test Street, Suite 152, Metro City, TC 10152', '152 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000152', NULL, 'ACTIVE'),
  ('Dummy Customer 153', 'dummy.customer.153@example.test', '+1-555-1153', 'Acme Division 4 LLC', '153 Test Street, Suite 153, Metro City, TC 10153', '153 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000153', NULL, 'ACTIVE'),
  ('Dummy Customer 154', 'dummy.customer.154@example.test', '+1-555-1154', 'Acme Division 5 LLC', '154 Test Street, Suite 154, Metro City, TC 10154', '154 Test Street, Suite 154, Metro City, TC 10154', 'TAX-1000154', NULL, 'ACTIVE'),
  ('Dummy Customer 155', 'dummy.customer.155@example.test', '+1-555-1155', 'Acme Division 6 LLC', '155 Test Street, Suite 155, Metro City, TC 10155', '155 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000155', NULL, 'ACTIVE'),
  ('Dummy Customer 156', 'dummy.customer.156@example.test', '+1-555-1156', 'Acme Division 7 LLC', '156 Test Street, Suite 156, Metro City, TC 10156', '156 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000156', NULL, 'ACTIVE'),
  ('Dummy Customer 157', 'dummy.customer.157@example.test', '+1-555-1157', 'Acme Division 8 LLC', '157 Test Street, Suite 157, Metro City, TC 10157', '157 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000157', NULL, 'ACTIVE'),
  ('Dummy Customer 158', 'dummy.customer.158@example.test', '+1-555-1158', 'Acme Division 9 LLC', '158 Test Street, Suite 158, Metro City, TC 10158', '158 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000158', NULL, 'ACTIVE'),
  ('Dummy Customer 159', 'dummy.customer.159@example.test', '+1-555-1159', 'Acme Division 10 LLC', '159 Test Street, Suite 159, Metro City, TC 10159', '159 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000159', NULL, 'ACTIVE'),
  ('Dummy Customer 160', 'dummy.customer.160@example.test', '+1-555-1160', 'Acme Division 11 LLC', '160 Test Street, Suite 160, Metro City, TC 10160', '160 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000160', NULL, 'ACTIVE'),
  ('Dummy Customer 161', 'dummy.customer.161@example.test', '+1-555-1161', 'Acme Division 12 LLC', '161 Test Street, Suite 161, Metro City, TC 10161', '161 Test Street, Suite 161, Metro City, TC 10161', 'TAX-1000161', NULL, 'ACTIVE'),
  ('Dummy Customer 162', 'dummy.customer.162@example.test', '+1-555-1162', 'Acme Division 13 LLC', '162 Test Street, Suite 162, Metro City, TC 10162', '162 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000162', NULL, 'ACTIVE'),
  ('Dummy Customer 163', 'dummy.customer.163@example.test', '+1-555-1163', 'Acme Division 14 LLC', '163 Test Street, Suite 163, Metro City, TC 10163', '163 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000163', NULL, 'ACTIVE'),
  ('Dummy Customer 164', 'dummy.customer.164@example.test', '+1-555-1164', 'Acme Division 15 LLC', '164 Test Street, Suite 164, Metro City, TC 10164', '164 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000164', NULL, 'ACTIVE'),
  ('Dummy Customer 165', 'dummy.customer.165@example.test', '+1-555-1165', 'Acme Division 16 LLC', '165 Test Street, Suite 165, Metro City, TC 10165', '165 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000165', NULL, 'ACTIVE'),
  ('Dummy Customer 166', 'dummy.customer.166@example.test', '+1-555-1166', 'Acme Division 17 LLC', '166 Test Street, Suite 166, Metro City, TC 10166', '166 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000166', NULL, 'ACTIVE'),
  ('Dummy Customer 167', 'dummy.customer.167@example.test', '+1-555-1167', 'Acme Division 18 LLC', '167 Test Street, Suite 167, Metro City, TC 10167', '167 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000167', NULL, 'ACTIVE'),
  ('Dummy Customer 168', 'dummy.customer.168@example.test', '+1-555-1168', 'Acme Division 19 LLC', '168 Test Street, Suite 168, Metro City, TC 10168', '168 Test Street, Suite 168, Metro City, TC 10168', 'TAX-1000168', NULL, 'ACTIVE'),
  ('Dummy Customer 169', 'dummy.customer.169@example.test', '+1-555-1169', 'Acme Division 20 LLC', '169 Test Street, Suite 169, Metro City, TC 10169', '169 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000169', NULL, 'ACTIVE'),
  ('Dummy Customer 170', 'dummy.customer.170@example.test', '+1-555-1170', 'Acme Division 21 LLC', '170 Test Street, Suite 170, Metro City, TC 10170', '170 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000170', NULL, 'ACTIVE'),
  ('Dummy Customer 171', 'dummy.customer.171@example.test', '+1-555-1171', 'Acme Division 22 LLC', '171 Test Street, Suite 171, Metro City, TC 10171', '171 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000171', NULL, 'ACTIVE'),
  ('Dummy Customer 172', 'dummy.customer.172@example.test', '+1-555-1172', 'Acme Division 23 LLC', '172 Test Street, Suite 172, Metro City, TC 10172', '172 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000172', NULL, 'ACTIVE'),
  ('Dummy Customer 173', 'dummy.customer.173@example.test', '+1-555-1173', 'Acme Division 24 LLC', '173 Test Street, Suite 173, Metro City, TC 10173', '173 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000173', NULL, 'ACTIVE'),
  ('Dummy Customer 174', 'dummy.customer.174@example.test', '+1-555-1174', 'Acme Division 25 LLC', '174 Test Street, Suite 174, Metro City, TC 10174', '174 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000174', NULL, 'ACTIVE'),
  ('Dummy Customer 175', 'dummy.customer.175@example.test', '+1-555-1175', 'Acme Division 26 LLC', '175 Test Street, Suite 175, Metro City, TC 10175', '175 Test Street, Suite 175, Metro City, TC 10175', 'TAX-1000175', NULL, 'ACTIVE'),
  ('Dummy Customer 176', 'dummy.customer.176@example.test', '+1-555-1176', 'Acme Division 27 LLC', '176 Test Street, Suite 176, Metro City, TC 10176', '176 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000176', NULL, 'ACTIVE'),
  ('Dummy Customer 177', 'dummy.customer.177@example.test', '+1-555-1177', 'Acme Division 28 LLC', '177 Test Street, Suite 177, Metro City, TC 10177', '177 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000177', NULL, 'ACTIVE'),
  ('Dummy Customer 178', 'dummy.customer.178@example.test', '+1-555-1178', 'Acme Division 29 LLC', '178 Test Street, Suite 178, Metro City, TC 10178', '178 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000178', NULL, 'ACTIVE'),
  ('Dummy Customer 179', 'dummy.customer.179@example.test', '+1-555-1179', 'Acme Division 30 LLC', '179 Test Street, Suite 179, Metro City, TC 10179', '179 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000179', NULL, 'ACTIVE'),
  ('Dummy Customer 180', 'dummy.customer.180@example.test', '+1-555-1180', 'Acme Division 31 LLC', '180 Test Street, Suite 180, Metro City, TC 10180', '180 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000180', NULL, 'ACTIVE'),
  ('Dummy Customer 181', 'dummy.customer.181@example.test', '+1-555-1181', 'Acme Division 32 LLC', '181 Test Street, Suite 181, Metro City, TC 10181', '181 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000181', NULL, 'ACTIVE'),
  ('Dummy Customer 182', 'dummy.customer.182@example.test', '+1-555-1182', 'Acme Division 33 LLC', '182 Test Street, Suite 182, Metro City, TC 10182', '182 Test Street, Suite 182, Metro City, TC 10182', 'TAX-1000182', NULL, 'ACTIVE'),
  ('Dummy Customer 183', 'dummy.customer.183@example.test', '+1-555-1183', 'Acme Division 34 LLC', '183 Test Street, Suite 183, Metro City, TC 10183', '183 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000183', NULL, 'ACTIVE'),
  ('Dummy Customer 184', 'dummy.customer.184@example.test', '+1-555-1184', 'Acme Division 35 LLC', '184 Test Street, Suite 184, Metro City, TC 10184', '184 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000184', NULL, 'ACTIVE'),
  ('Dummy Customer 185', 'dummy.customer.185@example.test', '+1-555-1185', 'Acme Division 36 LLC', '185 Test Street, Suite 185, Metro City, TC 10185', '185 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000185', NULL, 'ACTIVE'),
  ('Dummy Customer 186', 'dummy.customer.186@example.test', '+1-555-1186', 'Acme Division 37 LLC', '186 Test Street, Suite 186, Metro City, TC 10186', '186 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000186', NULL, 'ACTIVE'),
  ('Dummy Customer 187', 'dummy.customer.187@example.test', '+1-555-1187', 'Acme Division 38 LLC', '187 Test Street, Suite 187, Metro City, TC 10187', '187 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000187', NULL, 'ACTIVE'),
  ('Dummy Customer 188', 'dummy.customer.188@example.test', '+1-555-1188', 'Acme Division 39 LLC', '188 Test Street, Suite 188, Metro City, TC 10188', '188 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000188', NULL, 'ACTIVE'),
  ('Dummy Customer 189', 'dummy.customer.189@example.test', '+1-555-1189', 'Acme Division 40 LLC', '189 Test Street, Suite 189, Metro City, TC 10189', '189 Test Street, Suite 189, Metro City, TC 10189', 'TAX-1000189', NULL, 'ACTIVE'),
  ('Dummy Customer 190', 'dummy.customer.190@example.test', '+1-555-1190', 'Acme Division 41 LLC', '190 Test Street, Suite 190, Metro City, TC 10190', '190 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000190', NULL, 'ACTIVE'),
  ('Dummy Customer 191', 'dummy.customer.191@example.test', '+1-555-1191', 'Acme Division 42 LLC', '191 Test Street, Suite 191, Metro City, TC 10191', '191 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000191', NULL, 'ACTIVE'),
  ('Dummy Customer 192', 'dummy.customer.192@example.test', '+1-555-1192', 'Acme Division 43 LLC', '192 Test Street, Suite 192, Metro City, TC 10192', '192 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000192', NULL, 'ACTIVE'),
  ('Dummy Customer 193', 'dummy.customer.193@example.test', '+1-555-1193', 'Acme Division 44 LLC', '193 Test Street, Suite 193, Metro City, TC 10193', '193 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000193', NULL, 'ACTIVE'),
  ('Dummy Customer 194', 'dummy.customer.194@example.test', '+1-555-1194', 'Acme Division 45 LLC', '194 Test Street, Suite 194, Metro City, TC 10194', '194 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000194', NULL, 'ACTIVE'),
  ('Dummy Customer 195', 'dummy.customer.195@example.test', '+1-555-1195', 'Acme Division 46 LLC', '195 Test Street, Suite 195, Metro City, TC 10195', '195 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000195', NULL, 'ACTIVE'),
  ('Dummy Customer 196', 'dummy.customer.196@example.test', '+1-555-1196', 'Acme Division 47 LLC', '196 Test Street, Suite 196, Metro City, TC 10196', '196 Test Street, Suite 196, Metro City, TC 10196', 'TAX-1000196', NULL, 'ACTIVE'),
  ('Dummy Customer 197', 'dummy.customer.197@example.test', '+1-555-1197', 'Acme Division 48 LLC', '197 Test Street, Suite 197, Metro City, TC 10197', '197 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000197', NULL, 'ACTIVE'),
  ('Dummy Customer 198', 'dummy.customer.198@example.test', '+1-555-1198', 'Acme Division 49 LLC', '198 Test Street, Suite 198, Metro City, TC 10198', '198 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000198', NULL, 'ACTIVE'),
  ('Dummy Customer 199', 'dummy.customer.199@example.test', '+1-555-1199', 'Acme Division 50 LLC', '199 Test Street, Suite 199, Metro City, TC 10199', '199 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000199', NULL, 'ACTIVE'),
  ('Dummy Customer 200', 'dummy.customer.200@example.test', '+1-555-1200', 'Acme Division 1 LLC', '200 Test Street, Suite 0, Metro City, TC 10200', '200 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000200', NULL, 'ACTIVE'),
  ('Dummy Customer 201', 'dummy.customer.201@example.test', '+1-555-1201', 'Acme Division 2 LLC', '201 Test Street, Suite 1, Metro City, TC 10201', '201 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000201', NULL, 'ACTIVE'),
  ('Dummy Customer 202', 'dummy.customer.202@example.test', '+1-555-1202', 'Acme Division 3 LLC', '202 Test Street, Suite 2, Metro City, TC 10202', '202 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000202', NULL, 'ACTIVE'),
  ('Dummy Customer 203', 'dummy.customer.203@example.test', '+1-555-1203', 'Acme Division 4 LLC', '203 Test Street, Suite 3, Metro City, TC 10203', '203 Test Street, Suite 3, Metro City, TC 10203', 'TAX-1000203', NULL, 'ACTIVE'),
  ('Dummy Customer 204', 'dummy.customer.204@example.test', '+1-555-1204', 'Acme Division 5 LLC', '204 Test Street, Suite 4, Metro City, TC 10204', '204 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000204', NULL, 'ACTIVE'),
  ('Dummy Customer 205', 'dummy.customer.205@example.test', '+1-555-1205', 'Acme Division 6 LLC', '205 Test Street, Suite 5, Metro City, TC 10205', '205 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000205', NULL, 'ACTIVE'),
  ('Dummy Customer 206', 'dummy.customer.206@example.test', '+1-555-1206', 'Acme Division 7 LLC', '206 Test Street, Suite 6, Metro City, TC 10206', '206 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000206', NULL, 'ACTIVE'),
  ('Dummy Customer 207', 'dummy.customer.207@example.test', '+1-555-1207', 'Acme Division 8 LLC', '207 Test Street, Suite 7, Metro City, TC 10207', '207 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000207', NULL, 'ACTIVE'),
  ('Dummy Customer 208', 'dummy.customer.208@example.test', '+1-555-1208', 'Acme Division 9 LLC', '208 Test Street, Suite 8, Metro City, TC 10208', '208 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000208', NULL, 'ACTIVE'),
  ('Dummy Customer 209', 'dummy.customer.209@example.test', '+1-555-1209', 'Acme Division 10 LLC', '209 Test Street, Suite 9, Metro City, TC 10209', '209 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000209', NULL, 'ACTIVE'),
  ('Dummy Customer 210', 'dummy.customer.210@example.test', '+1-555-1210', 'Acme Division 11 LLC', '210 Test Street, Suite 10, Metro City, TC 10210', '210 Test Street, Suite 10, Metro City, TC 10210', 'TAX-1000210', NULL, 'ACTIVE'),
  ('Dummy Customer 211', 'dummy.customer.211@example.test', '+1-555-1211', 'Acme Division 12 LLC', '211 Test Street, Suite 11, Metro City, TC 10211', '211 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000211', NULL, 'ACTIVE'),
  ('Dummy Customer 212', 'dummy.customer.212@example.test', '+1-555-1212', 'Acme Division 13 LLC', '212 Test Street, Suite 12, Metro City, TC 10212', '212 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000212', NULL, 'ACTIVE'),
